Product Name (English),Product Status,Product Token,Product Type,Description (English),Selling Method,Case Size,Minimum Order Quantity,Item Weight,Item Weight Unit,Item Length,Item Width,Item Height,Item Dimensions Unit,Packaged Weight,Packaged Weight Unit,Packaged Length,Packaged Width,Packaged Height,Packaged Dimensions Unit,Option Status,SKU,GTIN,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,USD Unit Wholesale Price,USD Unit Retail Price,CAD Unit Wholesale Price,CAD Unit Retail Price,GBR Unit Wholesale Price,GBR Unit Retail Price,EUR Unit Wholesale Price,EUR Unit Retail Price,AUD Unit Wholesale Price,AUD Unit Retail Price,Option Image,Preorder,Ship By Date (YYYY-MM-DD),"Ship By End Date (if range, YYYY-MM-DD)",Deadline To Order (YYYY-MM-DD),Sell After Order By/Ship Date,Product Images,Made In Country,Tester Price (USD),Tester Price (CAD),Tester Price (GBP),Tester Price (EUR),Tester Price (AUD),Customizable,Customization Instructions,Customization Input Required,Customization Input Character Limit,Customization Minimum Order Quantity,Customization Charge Per Unit (USD),Customization Charge Per Unit (CAD),Customization Charge Per Unit (GBP),Customization Charge Per Unit (EUR),Customization Charge Per Unit (AUD),Continue selling when out of stock,On Hand Inventory,Restock Date,HS6 Tariff Code
"HD Pet Collar Camera - Wireless, Video Recording",UNPUBLISHED,p_5936458b9e,Physical,"🐶 HD Pet Collar Camera - Wireless, Video Recording! 📹  ✨ Capture your pet's adventures in HD! 🐕  💪 Wireless and easy to set up! 🐾  🎉 Ideal for recording and sharing moments! 😺",Wholesale,3,3,,,,,,,,,,,,,UNPUBLISHED,CGP-40,,Color,Assorted,,,,,49.99,99.98,,,,,,,,,https://cdn.faire.com/fastly/f254b56f3bde266d1b003462408a53978d3d114a80a10326d21e2eaf238f3470.jpeg,No,,,,,https://cdn.faire.com/fastly/643eac85b087572d87d4b6efd1fdc9316d4c9787c1123fc2698a97a518c87280.png|https://cdn.faire.com/fastly/7ea510698f8128c75cb0a7f01b48b6241a13d5c971cc390f5db91d56456983d1.jpeg|https://cdn.faire.com/fastly/53e89dd504c6b5576496e0acb4ce3aa34a215cf14bce709467348a37c8791570.jpeg|https://cdn.faire.com/fastly/57f8c384be5f75b742b6e0f76ecc0172fc46ff7e143f3ec53c8a77d232425413.jpeg|https://cdn.faire.com/fastly/f254b56f3bde266d1b003462408a53978d3d114a80a10326d21e2eaf238f3470.jpeg,,,,,,,No,,,,,,,,,,Yes,10000,,
"Kimpets Pet Bed - Warm, Non-Slip Kennel for Dogs & Cats",Published,p_ycjv5cqfe6,Physical,"🐶 Kimpets Pet Bed - Warm, Non-Slip Kennel for Dogs & Cats! 🌟  ✨ Provides comfort and security for your pet! 🐾  💤 Non-slip bottom for safety! 🐱  💧 Easy to clean and maintain! 🐕",Wholesale,3,3,,,,,,,,,,,,,Published,CGP-27,,Color,Assorted,Size,L 60X45cm,,,45.99,91.98,,,,,,,,,https://cdn.faire.com/fastly/6b7787d3f978b1c1f96bd69ec29caa8f5443fcbf289919bbe1e7ebd9c2291c51.jpeg,No,,,,,https://cdn.faire.com/fastly/8eaa42a52e2fd249aeaf40865b6394340a1f519b00c6a1789ac77e229330a26c.png|https://cdn.faire.com/fastly/5e0d5ffc6202096de43e133bd68ad398a3877c5250b553f8d6dd1e793c624918.jpeg|https://cdn.faire.com/fastly/c75e2e9a27414090087895661c942843b29e3fa44e0ec8d6c17ec7e0c87af540.jpeg|https://cdn.faire.com/fastly/0afb02337b3fc90f4b74d6ae7a79e31c687bcbeffa6d29a72a9ec30b5544ecd5.jpeg|https://cdn.faire.com/fastly/6b7787d3f978b1c1f96bd69ec29caa8f5443fcbf289919bbe1e7ebd9c2291c51.jpeg,,,,,,,No,,,,,,,,,,Yes,10000,,630790
Mango-Shaped Dog Chew Toys - Bulk,Published,p_x8xdu9mnus,Physical,🐕 Mango-Shaped Dog Chew Toys - in Bulk 🌟  ✨ Fun mango design! 🐾  🎉 Durable for chewing and play! 🐶  💪 Ideal for interactive fun! 😺,Wholesale,6,6,0.25,POUNDS,5,5,4,INCHES,,,,,,,Published,CGP-133,,,default,,,,,32.99,65.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/4624a4ed9917658fae7a9bb45f8cbc50c173370a8be3f9d564c639083bf8c934.jpeg|https://cdn.faire.com/fastly/3d8809d2a71d35b3b2b6939690760fa169d1950a78017a42af565f4495afcb31.jpeg|https://cdn.faire.com/fastly/1887a1f31e9b162117a9624056a4eb9ef5890660b380e628c4929524fa2df507.jpeg|https://cdn.faire.com/fastly/197e8fcbe1b59bc0352e1b92547461c74c6b833b38bc5aa547c719cc1a0f04aa.jpeg,CHN,,,,,,No,,,,,,,,,,Yes,10000,,950300
LED Electric Pet Nail Grinder - USB Rechargeable Tool,Published,p_g2pjtq64ev,Physical,"Safe and Effective Nail Trimming Designed with your pet's comfort in mind, this nail grinder offers a gentle yet powerful alternative to traditional clippers. It smooths nails gradually to prevent over-cutting, splitting, or discomfort.  Rechargeable for Hassle-Free Grooming Equipped with a built-in USB rechargeable battery, this tool is perfect for home use or travel. A single charge provides extended operation, eliminating the need for constant battery replacements.  LED Light for Enhanced Precision Built-in LED lighting illuminates your pet’s nails, making it easier to identify the quick and avoid trimming too far. Ideal for both beginners and experienced pet owners.  Low-Noise, Low-Vibration Operation Engineered with a quiet motor to reduce stress and anxiety in pets during grooming. Suitable for dogs, cats, and even small animals with sensitive hearing.  Versatile and Pet-Friendly Design Includes multiple grinding heads and adjustable speed settings to suit pets of various sizes ",Wholesale,3,3,,,,,,,,,,,,,Published,CGP-24,,Color,Assorted,,,,,31.90,63.80,,,,,,,,,https://cdn.faire.com/fastly/233f21979f0d95af918c869efe6700734043da8703a80208df87740af6c52652.png,No,,,,,https://cdn.faire.com/fastly/233f21979f0d95af918c869efe6700734043da8703a80208df87740af6c52652.png|https://cdn.faire.com/fastly/09168d4e350cbfaae738a67ab322e1a06301029ba87389ddde2ad95de5085f22.jpeg|https://cdn.faire.com/fastly/06982cc8a018d2b05cfa0f7bdae3bd8be6a866073b9f5ffe044f3d0fe12273b8.jpeg|https://cdn.faire.com/fastly/94afc5416eb1aaa95dd16457ff85d75bdfc17c62cff8cd6328c926b6209e85f9.jpeg,,,,,,,No,,,,,,,,,,Yes,10000,,960390
Durable Suction Cup Dog Chew Toy - Bulk,UNPUBLISHED,p_bnwhu495bu,Physical,🐕 Durable Suction Cup Dog Chew Toy - in Bulk 🌟  ✨ Sticks to surfaces for fun! 🐾  🎉 Durable chew toy for dogs! 🐶  💪 Ideal for interactive play! 😺,Wholesale,3,3,0.3,POUNDS,8,8,4,INCHES,,,,,,,UNPUBLISHED,CGP-113,,,default,,,,,29.99,59.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/13f7150a0a63ff7cadf9dcd3de5d9034166ae426a1a537ec7263b8a9d63067bf.jpeg|https://cdn.faire.com/fastly/214b221515f1695567acb047bb6c76e6d4058f454b3f44b08eb204e1f6ad7350.jpeg|https://cdn.faire.com/fastly/ff89a595f67aed4251a8926cb482e23b6a6ddfb3d3449ce6a5cea5b2bb56cf49.jpeg|https://cdn.faire.com/fastly/7af4c5bec34c01276146c47c35855bed8fda7f2de0f467ed0c12daafeca274cc.jpeg,,,,,,,No,,,,,,,,,,Yes,10000,,950300
Chew-Resistant Slipper Dog Toy - Bulk,Published,p_b7ysvr22kk,Physical,🐾 Chew-Resistant Slipper Dog Toy - Bulk! 🌟  ✨ Durable and fun for chewing! 🐶  🎉 Ideal for interactive playtime! 🐕  💪 Available in bulk for great value! 😺,Wholesale,6,6,0.25,POUNDS,5,5,4,INCHES,,,,,,,Published,CGP-79,,,default,,,,,28.99,57.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/49eff4d3331d684f6edaf2d5760d6be7131a19fa0fb9715b3634e871cbe59c2d.jpeg|https://cdn.faire.com/fastly/c338cbcd3790837d932596e286b76531bd2d6c2e62cd69439144080959e44650.jpeg|https://cdn.faire.com/fastly/3a877f991617e0b569aba540c5d7dc0dc804e929901c96aa072289ec2d4621d5.jpeg|https://cdn.faire.com/fastly/a78b6f32901b573c7acc5bf4db578d543d7e1ea60d1fae6cdcebc3d6dd5f5a87.jpeg,,,,,,,No,,,,,,,,,,Yes,10000,,950300
Luxury Cuban Link Dog Collar Heavy Duty Steel,Published,p_gcqftekhqf,Physical,"Turn everyday pet accessories into a premium statement piece with our Luxury Cuban Link Dog Collar — built for strength, styled for attention.  Crafted from high-grade stainless steel, this collar delivers unmatched durability for strong and large breed dogs, while maintaining a sleek, polished look that stands out in any retail display.  The no-pull design gives pet owners better control during walks and training—without causing discomfort. Its smooth, irritation-free finish protects fur and skin, making it ideal for daily wear.  Designed with a secure locking mechanism, this collar stays firmly in place—no accidental openings, no compromises. Plus, it’s rust-resistant and tarnish-free, ensuring long-term performance even with regular use.  Available in 15mm and 19mm widths, it caters to customers looking for both functionality and bold style—perfect for modern pet owners who treat their dogs like family.  💡 Why retailers love it:  High perceived value = better margins Trendy “luxury pet” category product Strong appeal for large dog owners Ideal for gifting & premium collections",Wholesale,12,12,,,,,,,,,,,,,Published,SS-N13,,Size,Small,,,,,28.99,57.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c331d8d88ac89a911a388cf7a13f2cade5b00f882696b50d1885cda738298926.png|https://cdn.faire.com/fastly/1472696d69799f16ce799818b31a24f5e1032e11b22c628140fc8bfaeb54ceef.png|https://cdn.faire.com/fastly/5690c620efb0a7ab808b4eb44e6a8bfc6ef45ad07865f0d65015e22ad93a5402.png|https://cdn.faire.com/fastly/7a1e392c78d21305516de536dc93d6f548ce867a0bc6d5cc2487e55888c29cec.png|https://cdn.faire.com/fastly/ee6ff6ec4950df5ee3ecd165b4e22225f761c36d28ec863dbe30704c9ea6c3ee.png,,,,,,,No,,,,,,,,,,No,10000,,420100
Luxury Cuban Link Dog Collar Heavy Duty Steel,Published,p_gcqftekhqf,Physical,"Turn everyday pet accessories into a premium statement piece with our Luxury Cuban Link Dog Collar — built for strength, styled for attention.  Crafted from high-grade stainless steel, this collar delivers unmatched durability for strong and large breed dogs, while maintaining a sleek, polished look that stands out in any retail display.  The no-pull design gives pet owners better control during walks and training—without causing discomfort. Its smooth, irritation-free finish protects fur and skin, making it ideal for daily wear.  Designed with a secure locking mechanism, this collar stays firmly in place—no accidental openings, no compromises. Plus, it’s rust-resistant and tarnish-free, ensuring long-term performance even with regular use.  Available in 15mm and 19mm widths, it caters to customers looking for both functionality and bold style—perfect for modern pet owners who treat their dogs like family.  💡 Why retailers love it:  High perceived value = better margins Trendy “luxury pet” category product Strong appeal for large dog owners Ideal for gifting & premium collections",Wholesale,12,12,,,,,,,,,,,,,Published,,,Size,Medium,,,,,28.99,57.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c331d8d88ac89a911a388cf7a13f2cade5b00f882696b50d1885cda738298926.png|https://cdn.faire.com/fastly/1472696d69799f16ce799818b31a24f5e1032e11b22c628140fc8bfaeb54ceef.png|https://cdn.faire.com/fastly/5690c620efb0a7ab808b4eb44e6a8bfc6ef45ad07865f0d65015e22ad93a5402.png|https://cdn.faire.com/fastly/7a1e392c78d21305516de536dc93d6f548ce867a0bc6d5cc2487e55888c29cec.png|https://cdn.faire.com/fastly/ee6ff6ec4950df5ee3ecd165b4e22225f761c36d28ec863dbe30704c9ea6c3ee.png,,,,,,,No,,,,,,,,,,No,10000,,420100
Luxury Cuban Link Dog Collar Heavy Duty Steel,Published,p_gcqftekhqf,Physical,"Turn everyday pet accessories into a premium statement piece with our Luxury Cuban Link Dog Collar — built for strength, styled for attention.  Crafted from high-grade stainless steel, this collar delivers unmatched durability for strong and large breed dogs, while maintaining a sleek, polished look that stands out in any retail display.  The no-pull design gives pet owners better control during walks and training—without causing discomfort. Its smooth, irritation-free finish protects fur and skin, making it ideal for daily wear.  Designed with a secure locking mechanism, this collar stays firmly in place—no accidental openings, no compromises. Plus, it’s rust-resistant and tarnish-free, ensuring long-term performance even with regular use.  Available in 15mm and 19mm widths, it caters to customers looking for both functionality and bold style—perfect for modern pet owners who treat their dogs like family.  💡 Why retailers love it:  High perceived value = better margins Trendy “luxury pet” category product Strong appeal for large dog owners Ideal for gifting & premium collections",Wholesale,12,12,,,,,,,,,,,,,Published,,,Size,Large,,,,,28.99,57.98,,,,,,,,,,No,,,,,https://cdn.faire.com/fastly/c331d8d88ac89a911a388cf7a13f2cade5b00f882696b50d1885cda738298926.png|https://cdn.faire.com/fastly/1472696d69799f16ce799818b31a24f5e1032e11b22c628140fc8bfaeb54ceef.png|https://cdn.faire.com/fastly/5690c620efb0a7ab808b4eb44e6a8bfc6ef45ad07865f0d65015e22ad93a5402.png|https://cdn.faire.com/fastly/7a1e392c78d21305516de536dc93d6f548ce867a0bc6d5cc2487e55888c29cec.png|https://cdn.faire.com/fastly/ee6ff6ec4950df5ee3ecd165b4e22225f761c36d28ec863dbe30704c9ea6c3ee.png,,,,,,,No,,,,,,,,,,No,10000,,420100
Pet Carrier Bag Small Dog Cat Travel Shoulder Tote,Published,p_gjxjqh2qfd,Physical,"A high-velocity seasonal pet toy built for fast summer sell-through and repeat orders.  This freezable cooling chew toy helps pets stay comfortable during hot weather while delivering engaging, soothing chew play. Simply soak in water and freeze to create a refreshing, cold toy that supports both cooling relief and healthy chewing habits.  Bright fruit-inspired designs (pineapple, lemon, watermelon) create strong shelf appeal, making this product highly effective in impulse-buy placements and seasonal displays.  Made from durable, non-toxic materials, it is safe for everyday use and suitable for both dogs and cats. The textured surface also helps soothe gums, making it ideal for teething pets and active chewers.  With strong seasonal demand, eye-catching design, and practical functionality, this product performs exceptionally well in summer promotions, bundle offers, and high-traffic retail areas.  Why This Will Be a Bestseller  ❄️ Seasonal urgency → hot weather drives immediate demand 🐶 Real functional benefit → cooling relief + chew engagement 🔁 Repeat purchase category → ongoing customer demand 🍍 Bright fruit designs → high visibility & impulse appeal 💰 Impulse-friendly price point → easy add-on item 📈 Perfect for bundles & promotions → increases order value  Key Features  Freezable design for cooling relief in hot weather Durable, bite-resistant material for long-lasting use Safe, non-toxic construction Textured surface supports gum soothing and chewing Lightweight and portable for indoor and outdoor use Assorted fruit styles for strong visual merchandising  Retailer Advantages  📦 Proven seasonal bestseller category ⚡ Fast-moving SKU during warm months 🧺 Ideal for bundle deals with pet accessories 🎯 Appeals to both dog and cat owners 📈 Boosts average order value with add-ons  Merchandising Strategy  Create a “Summer Pet Essentials” display section  Place in checkout zones or seasonal feature areas  Display in bins or group by color for strong visual impact  Use signage such as: 👉 “Keep Pets Cool This Summer”  Bundle with: • Cooling mats • Pet water bottles • Treats",Wholesale,12,12,,,,,,,,,,,,,Published,SS-PBEG-14S,,Color,Coffee,Size,Small,,,27.99,55.98,,,,,,,,,https://cdn.faire.com/fastly/04dfba5d9dda7a44c9d79fbd5eb720d490ef031c10ae2cf3a0e9a1469c8b4d2e.png,No,,,,,https://cdn.faire.com/fastly/f554fc6017da7aa73fffe6c64e2809d95dcf188b52315ce55c71a2d95c960cf4.png|https://cdn.faire.com/fastly/bf575c81a5765fd7d73576db7080c90025631fd565d890cbe0e26c1044d61b9c.png|https://cdn.faire.com/fastly/8783a50b27a7ea70b7c3d8766dea3e6d90e7daf1e9349a0c1e95b8db0bce400e.png|https://cdn.faire.com/fastly/16acf5ae4e284901714877d6c367cf3ea4386802c04e88828d9f352522a33f09.png|https://cdn.faire.com/fastly/dc788888247bc992e376163b50f390d1e8062628491a36f16138186034a8f874.png|https://cdn.faire.com/fastly/1491c14d1e9a34068d2ce0519ced82aefe51e0650df05eda3c7a9439743cf2bf.png|https://cdn.faire.com/fastly/04dfba5d9dda7a44c9d79fbd5eb720d490ef031c10ae2cf3a0e9a1469c8b4d2e.png|https://cdn.faire.com/fastly/39d7d77b94a4435acb949f7008cb374717d5ae46d0daf68c6892d7d6b5762b7d.png|https://cdn.faire.com/fastly/6a61c6e1cc9fb3a9afd2c66eadf189203e70813cf5fda83a06b737d2c0b5bcbf.png|https://cdn.faire.com/fastly/69bb29b9e5f7f4e6be0ca3305e722ffb8e7f1ae7a0fd2896d9e5d2833d5d8e68.png|https://cdn.faire.com/fastly/04dfba5d9dda7a44c9d79fbd5eb720d490ef031c10ae2cf3a0e9a1469c8b4d2e.png|https://cdn.faire.com/fastly/1491c14d1e9a34068d2ce0519ced82aefe51e0650df05eda3c7a9439743cf2bf.png,,,,,,,No,,,,,,,,,,No,10000,,420292
